parliament,member,birthPlace,coordinates,start,end,party
37,William Milbourne James,Hartley Wintney,(-0.9054 51.3043),1943,1945,Conservative Party
38,S. O. Davies,Abercwmboi,(-3.4125 51.6897),1945,1950,Labour Party
38,"Samuel Segal, Baron Segal",Oxford,(-1.257777777 51.751944444),1945,1950,Labour Party
38,Scholefield Allen,Birkenhead,(-3.016666666 53.383333333),1945,1950,Labour Party
37,Seymour Cocks,Darlington,(-1.557222222 54.522777777),1935,1945,Labour Party
38,"Michael Stewart, Baron Stewart of Fulham",Bromley,(0.018305555 51.406444444),1945,1950,Labour Party
38,Jim Griffiths,Betws,(-3.982 51.787),1945,1950,Labour Party
38,"George Thomas, 1st Viscount Tonypandy",Port Talbot,(-3.81 51.58),1945,1950,Labour Party
38,"Alfred Robens, Baron Robens of Woldingham",Manchester,(-2.233333333 53.466666666),1945,1950,Labour Party
37,Morgan Philips Price,Gloucester,(-2.245833333 51.865277777),1935,1945,Labour Party
38,Muriel Nichol,Wilmslow,(-2.239 53.325),1945,1950,Labour Party
37,Seaborne Davies,Pwllheli,(-4.416666666 52.883333333),1945,1945,Liberal Party
37,"James Reid, Baron Reid",Drem,(-2.78735 56.0059),1937,1945,Conservative Party
37,"William Astor, 3rd Viscount Astor",Cliveden,(-0.688333333 51.558333333),1935,1945,Conservative Party
37,Edward Spears,Paris,(2.352222222 48.856666666),1935,1945,Conservative Party
37,"Oliver Lyttelton, 1st Viscount Chandos",Mayfair,(-0.147222222 51.510277777),1940,1945,Conservative Party
38,Douglas Dodds-Parker,Oxford,(-1.257777777 51.751944444),1945,1950,Conservative Party
37,Frederick Sykes,Croydon,(-0.1099 51.3727),1940,1945,Conservative Party
37,William Cove,Pontypridd,(-3.33682 51.59672),1935,1945,Labour Party
37,William Dobbie,Maybole,(-4.68149 55.3545),1935,1945,Labour Party
38,William Mainwaring,Fforestfach,(-3.9823 51.6451),1945,1950,Labour Party
38,William Warbey,Metropolitan Borough of Hackney,(-0.0564 51.5451),1945,1950,Labour Party
38,Edward Carson,Mayfair,(-0.147222222 51.510277777),1945,1950,Conservative Party
38,"George Brown, Baron George-Brown",Lambeth,(-0.1193 51.4903),1945,1950,Labour Party
38,Percy Collick,Guildford,(-0.5746 51.2354),1945,1950,Labour Party
38,Peter Freeman,London,(-0.1275 51.507222222),1945,1950,Labour Party
37,Eleanor Rathbone,London,(-0.1275 51.507222222),1935,1945,independent politician
38,Phil Piratin,London,(-0.1275 51.507222222),1945,1950,Communist Party of Great Britain
37,W. J. Gruffydd,Bethel,(-4.2099 53.164488888),1943,1945,Liberal Party
37,"William Mabane, 1st Baron Mabane",Leeds,(-1.543611111 53.7975),1935,1945,Liberal Party
37,Henry Channon,Chicago,(-87.65005 41.85003),1935,1945,Conservative Party
37,"Edward Grigg, 1st Baron Altrincham",Chennai,(80.275 13.0825),1935,1945,Conservative Party
37,Murdoch Macdonald,Inverness,(-4.225833333 57.483888888),1935,1945,Liberal Party
37,Owen Evans,Penbryn,(-4.49436 52.1399),1935,1945,Liberal Party
37,"Henry Strauss, 1st Baron Conesford",Kensington,(-0.1909 51.5004),1935,1945,Conservative Party
38,Hugh Fraser,Westminster,(-0.1333 51.4995),1945,1950,Conservative Party
37,"Irene Ward, Baroness Ward",London,(-0.1275 51.507222222),1935,1945,Conservative Party
38,"Stephen Taylor, Baron Taylor",High Wycombe,(-0.751666666 51.621666666),1945,1950,Labour Party
38,"Victor Collins, Baron Stonham",Whitechapel District,,1945,1950,Labour Party
38,Geoffrey de Freitas,Grenada,(-61.666667 12.116667),1945,1950,Labour Party
37,Arthur Jenkins,Varteg,(-3.06605 51.7479),1935,1945,Labour Party
38,Barbara Castle,Chesterfield,(-1.4275 53.235833333),1945,1950,Labour Party
38,"Donald Bruce, Baron Bruce of Donington",Norbury,(-0.1083 51.4092),1945,1950,Labour Party
38,"Douglas Houghton, Baron Houghton of Sowerby",Long Eaton,(-1.271 52.899),1949,1950,Labour Party
38,"Douglas Jay, Baron Jay",Woolwich,(0.066666666 51.491666666),1946,1950,Labour Party
37,"Tom Williams, Baron Williams of Barnburgh",Bolsover,(-1.26 53.25),1935,1945,Labour Party
37,"Edgar Granville, Baron Granville of Eye",Reading,(-0.973055555 51.454166666),1935,1945,Labour Party
38,Edward Arthur Hardy,Nottingham,(-1.149166666 52.955),1945,1950,Labour Party
38,"David Rees-Williams, 1st Baron Ogmore",Bridgend,(-3.5784 51.5072),1945,1950,Labour Party
38,David Thomas,Maesteg,(-3.65 51.61),1946,1950,Labour Party
38,David Weitzman,Blackburn,(-2.4769 53.7449),1945,1950,Labour Party
37,"George Lambert, 1st Viscount Lambert",South Tawton,(-3.9 50.73),1935,1945,Liberal Party
38,"Hervey Rhodes, Baron Rhodes",Saddleworth,(-2.0 53.55),1945,1950,Labour Party
37,Hubert Beaumont,Birmingham,(-1.9025 52.48),1939,1945,Labour Party
38,Humphrey Attewell,Northampton,(-0.9 52.233333333),1945,1950,Labour Party
38,Hyacinth Morgan,St. George's,(-61.741666666 12.044444444),1945,1950,Labour Party
38,Ian Mikardo,Portsmouth,(-1.087222222 50.805833333),1945,1950,Labour Party
37,Don Bennett,Toowoomba,(151.95 -27.55),1945,1945,Liberal Party
37,Cyril Lloyd,Moseley,(-1.88814 52.4467),1941,1945,Conservative Party
37,Henry Haydn Jones,Ruthin,(-3.310555555 53.114444444),1935,1945,Liberal Party
38,Douglas Lloyd Savory,Palgrave,(1.107561111 52.362980555),1945,1950,Ulster Unionist Party
38,Andrew Rae Duncan,Irvine,(-4.661111111 55.619444444),1945,1950,Conservative Party
37,Angus Hambro,Bromley,(0.018305555 51.406444444),1937,1945,Conservative Party
38,Archer Baldwin,Rugby,(-84.700278 36.361111),1945,1950,Conservative Party
37,Archibald James,Paddington,(-0.173 51.5172),1935,1945,Conservative Party
